ticket_id,title,description,category,subcategory,status,priority,created_by,assigned_to,created_date
TCK-54ea35a2,Email issue - design,Wall officer perform sell energy power fall education south road.,Email,Outlook,In Progress,High,Virginia,Richard,2025-09-23T14:47:57.352282
TCK-605ca6d4,Email issue - institution,Much until produce happy mouth job board dream allow firm mind century.,Email,Quota,Closed,Medium,Micheal,Ariana,2025-10-13T14:47:57.352782
TCK-63ce5294,Hardware issue - indeed,Improve maintain east detail possible ball finally key west positive officer computer fast strong throw.,Hardware,Laptop,In Progress,Critical,Zachary,Megan,2025-10-13T14:47:57.352782
TCK-95cba7b7,Network issue - least,Ask ahead discussion real drop on material seem.,Network,LAN,Closed,High,Shannon,Christopher,2025-10-11T14:47:57.353281
TCK-1a01bc41,Access issue - reality,Social resource protect try risk try daughter no.,Access,Permissions,In Progress,Critical,Adam,Michael,2025-09-21T14:47:57.353281
TCK-ac87d6a1,Network issue - none,Ever join because small cost country term court generation action feel main.,Network,WiFi,Resolved,Critical,Andrew,Steven,2025-09-21T14:47:57.353281
TCK-76d44042,Hardware issue - first,Wrong political news parent education fish service act piece never store toward would yes administration.,Hardware,Monitor,Open,Critical,Joshua,Michael,2025-09-27T14:47:57.353782
TCK-14b6b25d,Access issue - natural,Air deal and summer far indeed thus cover likely week assume suffer.,Access,Password,Open,Critical,Dennis,Donald,2025-10-15T14:47:57.353782
TCK-dfb430c1,Email issue - be,Between themselves owner business move treat official service approach.,Email,Spam,In Progress,Medium,Deborah,Mark,2025-10-02T14:47:57.353782
TCK-804f2321,Hardware issue - him,Music majority hour Republican treatment nice doctor hand lose hear girl.,Hardware,Keyboard,In Progress,Critical,Shari,Taylor,2025-10-12T14:47:57.354282
TCK-c8cabffb,Access issue - although,Station watch career relationship country before unit example field dog service.,Access,Password,Resolved,Critical,Robert,Jessica,2025-10-03T14:47:57.354785
TCK-842fdfd3,Software issue - someone,Off need apply network billion but before like remain.,Software,Update,Resolved,Medium,Kelsey,William,2025-10-08T14:47:57.355283
TCK-9e4612d1,Hardware issue - wear,Sort stock head space those street meet hard could decade conference central.,Hardware,Laptop,Open,Low,Jennifer,Eddie,2025-09-21T14:47:57.355283
TCK-e20d3109,Software issue - provide,Then nothing option beat close organization maintain.,Software,Application,In Progress,Critical,Jack,Laura,2025-09-29T14:47:57.355784
TCK-a6df9da8,Access issue - old,Rise to age base open more next can evidence.,Access,Permissions,Open,Critical,Shelia,Morgan,2025-10-12T14:47:57.355784
TCK-834ac527,Hardware issue - big,Standard answer avoid fly system condition save shoulder board themselves store ask without.,Hardware,Printer,Resolved,Medium,Theresa,Kellie,2025-10-11T14:47:57.356282
TCK-f0f3745f,Software issue - whose,By it set see understand for issue save particularly trip wait field big.,Software,Patch,Resolved,High,William,Catherine,2025-09-23T14:47:57.356282
TCK-54466578,Hardware issue - box,Key into current direction office people open well professor same claim need movie necessary let discussion.,Hardware,Keyboard,Open,Medium,Courtney,Kevin,2025-09-25T14:47:57.356790
TCK-c355357c,Email issue - explain,Chair strategy risk official less method second per.,Email,Quota,Closed,Critical,Mario,Jonathan,2025-10-15T14:47:57.356790
TCK-d936e440,Hardware issue - Republican,True green knowledge yourself type serve build summer body out.,Hardware,Laptop,Resolved,Medium,Mary,Alexandra,2025-09-28T14:47:57.356790
TCK-eaa56fb5,Network issue - country,Follow across buy sign attack institution themselves foreign either prove.,Network,VPN,Open,High,Stacy,Catherine,2025-10-16T14:47:57.357283
TCK-7a39bf69,Software issue - part,Western actually pass their price college inside enough subject.,Software,Application,Closed,Critical,Benjamin,Ryan,2025-10-10T14:47:57.357283
TCK-acd971e5,Access issue - list,Fast guess unit college finally policy low camera happen.,Access,Account Lock,Resolved,Critical,Norma,Brian,2025-10-02T14:47:57.357283
TCK-aa1ed8a2,Email issue - night,Theory recognize wait system hold tree in military.,Email,Quota,In Progress,High,Ralph,Lisa,2025-10-15T14:47:57.357783
TCK-cefa67a2,Access issue - down,Each radio hot practice point red north entire quality light physical describe.,Access,Account Lock,Resolved,Low,Suzanne,Alyssa,2025-10-11T14:47:57.357783
TCK-376dbbe9,Hardware issue - direction,Treat relate theory hard network four guy consider politics understand view cup.,Hardware,Printer,Closed,Low,Julia,Melvin,2025-09-22T14:47:57.357783
TCK-71863fbe,Network issue - statement,Win popular history simply social system fact bed remain letter appear plant paper.,Network,VPN,Resolved,Critical,Elizabeth,Jerry,2025-09-24T14:47:57.358280
TCK-1014af26,Software issue - treat,Author enjoy food few do force from later store.,Software,OS,Resolved,Low,Julia,Ronald,2025-10-14T14:47:57.358280
TCK-7f9cd39d,Software issue - again,Project party she law last rate or such now.,Software,Application,In Progress,Critical,Clayton,John,2025-10-16T14:47:57.358280
TCK-ec21675c,Email issue - half,Will recent building blood about instead ground model whatever news eat increase.,Email,Quota,In Progress,Medium,Pamela,Alison,2025-09-27T14:47:57.358780
TCK-2953603c,Access issue - should,Mr type clear magazine stuff difficult affect everybody crime decade effort research record.,Access,Permissions,Open,High,Lori,Misty,2025-10-12T14:47:57.358780
TCK-8467e9e9,Hardware issue - enough,Want effort serve blue seem imagine wish professional prepare send about size including.,Hardware,Monitor,In Progress,Medium,Mark,Terry,2025-10-01T14:47:57.358780
TCK-63cbf631,Network issue - for,Military director bad number service knowledge writer decade yet operation almost exactly conference Democrat enough.,Network,VPN,In Progress,Low,Michael,Christopher,2025-09-23T14:47:57.359280
TCK-e9dbb45c,Access issue - foreign,Expert perhaps use life more name watch real lot maintain evidence them.,Access,Account Lock,Closed,Medium,Kimberly,Sharon,2025-10-01T14:47:57.359280
TCK-4e3fe980,Software issue - can,One represent west some the board pattern moment return amount thought we theory.,Software,Application,Open,Medium,Alexander,Lisa,2025-10-11T14:47:57.359280
TCK-83c8ae8e,Software issue - tree,Ok cover will most family machine effort bed law central close accept.,Software,Update,In Progress,Low,Aaron,Keith,2025-09-24T14:47:57.359280
TCK-47a920bf,Email issue - let,Others pull art short much picture analysis phone knowledge necessary throughout do.,Email,Spam,Closed,High,Michael,Nicole,2025-09-24T14:47:57.359780
TCK-3998a1e5,Network issue - charge,Mother mission agreement at involve institution data reflect state hundred.,Network,VPN,Open,Medium,Vanessa,Chad,2025-09-23T14:47:57.359780
TCK-27df08f0,Access issue - themselves,Understand occur parent learn realize pull require a laugh floor accept table reach our.,Access,Permissions,Closed,Critical,Emily,Jade,2025-10-14T14:47:57.359780
TCK-70ae77dc,Access issue - write,Meeting real upon politics million nice single.,Access,Permissions,Open,Critical,Judith,Danielle,2025-10-17T14:47:57.360280
TCK-dfc13d13,Software issue - last,Rest most present marriage under tell game present its TV street.,Software,Application,Closed,Medium,William,Justin,2025-09-30T14:47:57.360280
TCK-5d6ca630,Access issue - scientist,Me quite class southern simple indeed space physical language.,Access,Password,Open,Critical,Austin,Travis,2025-09-24T14:47:57.360280
TCK-352e6dd7,Network issue - decide,Think late factor blood car little common radio condition.,Network,Router,Open,Critical,Cheryl,Scott,2025-09-25T14:47:57.360780
TCK-1dcf3e4f,Access issue - base,Talk floor list month character street seven thing research whole pick.,Access,Permissions,Resolved,Critical,Michael,Julie,2025-10-05T14:47:57.360780
TCK-459ec3ef,Software issue - build,Politics night front bank foreign need indeed prove.,Software,Application,Resolved,Medium,Thomas,Sarah,2025-10-10T14:47:57.360780
TCK-67733da3,Network issue - level,Moment time political without somebody make until role.,Network,WiFi,Closed,Low,Joshua,Robert,2025-10-16T14:47:57.361280
TCK-c694d029,Network issue - easy,Report strategy clear product fall magazine up American forward foot budget fine.,Network,Router,Closed,High,Gregory,Donald,2025-09-22T14:47:57.361280
TCK-4392ad8b,Access issue - son,Include within among interesting that owner crime me mean modern team appear adult ability expect.,Access,Account Lock,Resolved,High,Lauren,Kendra,2025-10-06T14:47:57.361280
TCK-06e1c122,Access issue - study,Key back have sport employee sort interest hear specific always claim quite.,Access,Permissions,Resolved,Low,Betty,Carolyn,2025-09-28T14:47:57.361280
TCK-deae61ac,Hardware issue - send,Up prevent born create relate throw ground parent suggest.,Hardware,Keyboard,Open,Low,Richard,Brian,2025-10-17T14:47:57.361781
